Word,Pronunciation,Definition,HSK Level
本科,ben3 ke1,undergraduate course; undergraduate (adjective),5
本来,ben3 lai2,original; originally; at first; it goes without saying; of course,4
本领,ben3 ling3,"skill; ability; capability; CL:項|项[xiang4],個|个[ge4]",5
