Word,Pronunciation,Definition,HSK Level
道德,dào dé,virtue; morality; ethics; moral; CL:種|种[zhong3],5
到底,dào dǐ,finally; in the end; when all is said and done; after all; to the end; to the last,4
稻谷,dào gǔ,rice crops,6
道理,dào lǐ,reason; argument; sense; principle; basis; justification; CL:個|个[ge4],5
道歉,dào qiàn,to apologize; to make an apology,4
盗窃,dào qiè,to steal,6
得不偿失,dé bù cháng shī,(saying) the gains do not make up for the losses,6
得力,dé lì,able; capable; competent; efficient,6
得天独厚,dé tiān dú hòu,(of an area) rich in resources; (of a person) gifted or able (idiom),6
得意,dé yì,proud of oneself; pleased with oneself; complacent,4
得罪,dé zuì,to commit an offense; to violate the law; excuse me! (formal); see also 得罪|得罪[de2 zui5],6
的,de,"of; structural particle: used before a noun, linking it to preceding possessive or descriptive attributive",1
得,de,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc",2
地,de,"-ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct",3
得,děi,to have to; must; ought to; to need to,4
灯,dēng,lamp; light; lantern; CL:盞|盏[zhan3],3
蹬,dēng,to tread on; to step on,6
登机牌,dēng jī pái,boarding pass,5
登记,dēng jì,to register (one's name),5
灯笼,dēng lóng,lantern,6
登陆,dēng lù,to land; to come ashore; to make landfall (of typhoon etc); to log in,6
登录,dēng lù,to register; to login,6
等,děng,to wait for; to await,2
等,děng,et cetera; and so on; et al. (and other authors); after; as soon as; once,4
等待,děng dài,wait for; await,5
等候,děng hòu,waiting,5
等级,děng jí,degree; rate,6
等于,děng yú,to equal; to be tantamount to,5
瞪,dèng,to open (one's eyes) wide; to stare at; to glare at,6
低,dī,low; beneath; to lower (one's head); to let droop; to hang down; to incline,3
滴,dī,a drop; to drip,5
堤坝,dī bà,dam,6
的确,dí què,really; indeed,5
敌人,dí rén,enemy; CL:個|个[ge4],5
敌视,dí shì,hostile; malevolence; antagonism; to view as enemy; to stand against,6
底,dǐ,background; bottom; base; the end of a period of time; towards the end of (last month),4
抵达,dǐ dá,arrive; reach (a destination),6
抵抗,dǐ kàng,to resist; resistance,6
抵制,dǐ zhì,to resit; to boycott; to refuse (to cooperate); to reject; resistance; refusal,6
递,dì,to hand over; to pass on sth; to gradually increase or decrease; progressively,5
地步,dì bù,condition; situation; plight; extent; room for action,6
地道,dì dao,real; pure; genuine; typical; well-done; thorough,6
弟弟,dì di,"younger brother; CL:個|个[ge4],位[wei4]",2
地方,dì fang,region; regional (away from the central administration),3
地理,dì lǐ,geography,5
地球,dì qiú,the Earth; planet; CL:個|个[ge4],4
地区,dì qū,"local; regional; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city); CL:個|个[ge4]",5
地势,dì shì,terrain; topography relief,6
地毯,dì tǎn,carpet; rug,5
地铁,dì tiě,subway; metro,3
地图,dì tú,"map; CL:張|张[zhang1],本[ben3]",3
地位,dì wèi,position; status; place; CL:個|个[ge4],5
第一,dì yī,first; number one,2
递增,dì zēng,to increase by degrees; in increasing order; incremental; progressive,6
地震,dì zhèn,earthquake,5
地址,dì zhǐ,address; CL:個|个[ge4],4
地质,dì zhì,geology,6
颠簸,diān bǒ,to shake; to jolt; to bump,6
颠倒,diān dǎo,to turn upside-down; to reverse; back-to-front; confused; deranged; crazy,6
点,diǎn,drop (of liquid); stain; spot; speck; jot; dot stroke (in Chinese characters); decimal point; point; mark (of degree or level); a place (with certain characteristics); iron bell; o’clock; a little; a bit; some; (point) unit of measurement for type; to touch on briefly; to make clear; to light; to ignite; to kindle; period of time at night (24 minutes) (old); a drip; to dibble; classifier for small indeterminate quantities,1
典礼,diǎn lǐ,celebration; ceremony,6
点头,diǎn tóu,to nod,5
点心,diǎn xin,light refreshments; pastry; dimsum (in Cantonese cooking); dessert,5
典型,diǎn xíng,model; typical case; archetype; typical; representative,6
点缀,diǎn zhuì,to decorate; an ornament; to adorn; only for show,6
垫,diàn,pad; cushion; mat,6
电池,diàn chí,"battery; CL:節|节[jie2],組|组[zu3]",5
奠定,diàn dìng,to establish; to fix; to settle,6
惦记,diàn jì,remember with concern; worry about,6
电脑,diàn nǎo,computer; CL:臺|台[tai2],1
电视,diàn shì,"television; TV; CL:臺|台[tai2],個|个[ge4]",1
电台,diàn tái,transmitter-receiver; broadcasting station; radio station; CL:個|个[ge4],5
电梯,diàn tī,"elevator; CL:臺|台[tai2],部[bu4]",3
电影,diàn yǐng,"movie; film; CL:部[bu4],片[pian4],幕[mu4],場|场[chang3]",1
电源,diàn yuán,electric power source,6
电子邮件,diàn zǐ yóu jiàn,electronic mail; email; CL:封[feng1],3
叼,diāo,to hold in the mouth,6
雕刻,diāo kè,to carve; to engrave; carving,6
雕塑,diāo sù,a statue; a Buddhist image; sculpture; to carve,6
吊,diào,to suspend; to hang up; to hang a person,6
掉,diào,"to fall; to drop; to lag behind; to lose; to go missing; to reduce; fall (in prices); to lose (value, weight etc); to wag; to swing; to turn; to change; to exchange; to swap; to show off; to shed (hair)",4
钓,diào,to fish with a hook and bait,5
调查,diào chá,"investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:項|项[xiang4],個|个[ge4]",4
调动,diào dòng,to transfer; to maneuver (troops etc),6
跌,diē,to drop; to fall; to tumble; Taiwan pr. die2,6
丁,dīng,cubes of meat and vegetables; man; members of a family; population; fourth of 10 heavenly stems 十天干;,5
盯,dīng,to watch attentively; to fix attention on; to stare; to gaze; to follow; to shadow sb,6
叮嘱,dīng zhǔ,to warn repeatedly; to urge; to exhort again and again,6
顶,dǐng,"apex; crown of the head; top; roof; to carry on the head; to push to the top; to go against; most; to replace; to substitute; classifier for headwear, hats, veils etc; to agree or support (internet slang, similar to digg)",5
定期,dìng qī,regularly; at regular intervals,6
定义,dìng yì,definition,6
丢,diū,to lose; to put aside; to throw,4
丢人,diū rén,to lose face,6
丢三落四,diū sān là sì,forgetful; scatterbrained,6
东,dōng,east; host (i.e. sitting on east side of guest); landlord; surname Dong,3
冬,dōng,winter,3
东道主,dōng dào zhǔ,host; official host (e.g. venue for games or a conference),6
东西,dōng xi,"thing; stuff; person; CL:個|个[ge4],件[jian4]",1
东张西望,dōng zhāng xī wàng,to look in all directions (idiom); to glance around,6
懂,dǒng,to understand; to know,2
董事长,dǒng shì zhǎng,chairman of the board; chairman,6
冻,dòng,to freeze; to feel very cold; aspic or jelly,5
栋,dòng,classifier for houses or buildings; ridgepole (old),6
洞,dòng,cave; hole; zero (unambiguous spoken form when spelling out numbers); CL:個|个[ge4],5
动荡,dòng dàng,unrest (social or political); turmoil; upheaval; commotion,6
动画片,dòng huà piān,cartoon; animation,5
动机,dòng jī,motor; locomotive; motive; motivation; intention,6
冻结,dòng jié,"to freeze (loan, wage, price etc)",6
动静,dòng jìng,sound of activity or people talking; news of activity,6
动力,dòng lì,power; motion; propulsion; force,6
动脉,dòng mài,artery,6
动身,dòng shēn,go on a journey; leave,6
动手,dòng shǒu,to hit with hands or fists; to start work; to touch,6
动态,dòng tài,development; trend; dynamic state; movement; moving,6
动物,dòng wù,"animal; CL:隻|只[zhi1],群[qun2],個|个[ge4]",3
洞穴,dòng xué,cave; cavern,6
动员,dòng yuán,"mobilize; arouse; CL:次[ci4],個|个[ge4]",6
动作,dòng zuò,movement; motion; action; CL:個|个[ge4],4
兜,dōu,pocket; bag; to wrap up or hold in a bag; to move in a circle; to canvas or solicit; to take responsibility for; to disclose in detail; combat armor (old),6
都,dōu,"all, both; entirely (due to) each; even; already",1
陡峭,dǒu qiào,precipitous,6
逗,dòu,to stay; to stop; to pause (while reading); to tease (play with),5
豆腐,dòu fu,tofu; bean curd,5
斗争,dòu zhēng,a struggle; fight; battle,6
督促,dū cù,to urge sb to complete a task,6
都市,dū shì,city; metropolis,6
读,dú,"to read; to study; reading of word (i.e. pronunciation), similar to 拼音[pin1 yin1]",1
独裁,dú cái,dictatorship,6
独立,dú lì,independent; independence; to stand alone,5
毒品,dú pǐn,drugs; narcotics; poison,6
独特,dú tè,unique; distinct; having special characteristics,5
赌博,dǔ bó,to gamble,6
堵车,dǔ chē,traffic jam; choking,4
堵塞,dǔ sè,to block; to stop; blockage,6
度过,dù guò,spend; pass,5
杜绝,dù jué,put an end to,6
肚子,dù zi,belly; abdomen; stomach; CL:個|个[ge4],4
端,duān,end; extremity; item; port; to hold sth level with both hands; to carry; regular,6
端午节,duān wǔ jié,The Dragon Boat Festival (the 5th day of the 5th lunar month),6
端正,duān zhèng,upright; regular; proper; correct,6
短,duǎn,short or brief; to lack; weak point; fault,3
短促,duǎn cù,short in time; fleeting; brief,6
短信,duǎn xìn,text message; SMS,5
断,duàn,"to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely, definitely,decidedly",4
段,duàn,"paragraph; section; segment; stage (of a process); classifier for stories, periods of time, lengths of thread etc",3
断定,duàn dìng,to conclude; to determine; to come to a judgment,6
断断续续,duàn duàn xù xù,intermittent; off and on; discontinuous; stop-go; stammering; disjointed; inarticulate,6
断绝,duàn jué,to sever; to break off,6
锻炼,duàn liàn,to engage in physical exercise; to toughen; to temper,3
堆,duī,a pile; a mass; heap; stack,5
堆积,duī jī,to pile up; to heap; accumulation,6
对,duì,for; to,2
对,duì,right,2
对比,duì bǐ,contrast; balance; CL:個|个[ge4],5
对不起,duì bu qǐ,unworthy; to let down; I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat),1
对策,duì cè,countermeasure for dealing with a situation,6
对称,duì chèn,symmetry; symmetrical,6
对待,duì dài,to treat; treatment,5
对方,duì fāng,counterpart; other person involved; opposite side; other side; receiving party,5
对付,duì fu,to handle; to deal with; to cope; to get by with,6
对话,duì huà,dialog; CL:個|个[ge4],4
兑换,duì huàn,to convert; to exchange,6
对抗,duì kàng,to withstand; to resist; to stand off; antagonism; confrontation,6
对立,duì lì,to oppose; to set sth against; to be antagonistic to; antithetical; relative opposite; opposing; diametrical,6
对联,duì lián,rhyming couplet; pair of lines of verse written vertically down the sides of a doorway; CL:幅[fu2],6
对面,duì miàn,opposite,4
对手,duì shǒu,opponent; adversary; match,5
队伍,duì wu,ranks; troops; CL:個|个[ge4],6
兑现,duì xiàn,(of a cheque etc) to cash; to honor a commitment,6
对象,duì xiàng,target; object; partner; boyfriend; girlfriend; CL:個|个[ge4],5
对应,duì yìng,to correspond; a correspondence; corresponding; homologous; matching with sth; counterpart,6
对于,duì yú,regarding; as far as sth is concerned; with regards to,5
对照,duì zhào,to contrast; to compare; to place side by side for comparison (as parallel texts); to check,6
吨,dūn,ton; Taiwan pr. dun4,5
蹲,dūn,to crouch; to squat,5
顿,dùn,"stop; pause; to arrange; to lay out; to kowtow; to stamp; at once; classifier for meals, beating, tellings off etc: time, bout, spell, meal",4
顿时,dùn shí,at once; immediately; forthwith,6
多,duō,many; much; a lot of; numerous; multi-,1
多亏,duō kuī,thanks to; luckily,5
多么,duō me,how (wonderful etc); what (a great idea etc); however (difficult it may be etc),3
多少,duō shǎo,number; amount; somewhat,1
哆嗦,duō suo,to tremble; to shiver; uncontrolled shaking of the body,6
多余,duō yú,superfluous; unnecessary; surplus,5
多元化,duō yuán huà,diversification; pluralism; to diversify,6
朵,duǒ,"flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc",4
躲藏,duǒ cáng,to hide oneself,5
堕落,duò luò,to morally degenerate; to become depraved; a fall from grace; a fall into sin or depravity,6
额外,é wài,extra; added; additional,6
恶心,ě xin,nausea; to feel sick; disgust; nauseating,6
饿,è,to be hungry; hungry,3
恶化,è huà,worsen,6
恶劣,è liè,vile; nasty; of very poor quality,5
遏制,è zhì,to check; to contain; to hold back; to keep within limits; to constrain; to restrain,6
恩怨,ēn yuàn,(feeling of) resentment; (longstanding) grudge,6
而,ér,and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast),4
而且,ér qiě,(not only ...) but also; moreover; in addition; furthermore,3
儿童,ér tóng,child; CL:個|个[ge4],4
而已,ér yǐ,that's all; nothing more,6
儿子,ér zi,son,1
耳朵,ěr duo,"ear; CL:隻|只[zhi1],個|个[ge4],對|对[dui4]",3
耳环,ěr huán,"earring; CL:隻|只[zhi1],對|对[dui4]",6
二,èr,two; 2; stupid (Beijing dialect),1
二氧化碳,èr yǎng huà tàn,carbon dioxide CO2,6
发,fā,to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds),4
发表,fā biǎo,to issue (a statement); to publish; to issue; to put out,5
发布,fā bù,to release; to issue; to announce; to distribute; also written 發布|发布[fa1 bu4],6
发财,fā cái,to get rich,6
发愁,fā chóu,to worry; to fret; to be anxious; to become sad,5
发达,fā dá,developed (country etc); flourishing; to develop,5
发呆,fā dāi,to daydream; lost in thought,6
发动,fā dòng,to start; to launch; to unleash; to mobilize; to arouse,6
发抖,fā dǒu,shiver; shudder; tremble; tremulous,5
发挥,fā huī,to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme),5
发火,fā huǒ,to catch fire; to ignite; to detonate; to get angry,6
发觉,fā jué,to find; to detect; to discover,6
发明,fā míng,to invent; invention; CL:個|个[ge4],5
发票,fā piào,invoice; receipt or bill for purchase,5
发烧,fā shāo,have a high temperature (from illness); have a fever,3
发射,fā shè,to shoot (a projectile); to fire (a rocket); to launch; to emit (a particle); to discharge; emanation; emission,6
发生,fā shēng,to happen; to occur; to take place; to break out,4
发誓,fā shì,to vow; to pledge; to swear,6
发现,fā xiàn,to find; to discover,3
发行,fā xíng,"to publish; to issue (stocks, currency etc); to release; to distribute (a film)",6
发言,fā yán,statement; utterance; CL:個|个[ge4],5
发炎,fā yán,inflamed from infection or injury; inflammation,6
发扬,fā yáng,to develop; to make full use of,6
发育,fā yù,to develop; growth; development,6
发展,fā zhǎn,development; growth; to develop; to grow; to expand,4
罚款,fá kuǎn,(impose a) fine; penalty; fine (monetary),5
法律,fǎ lǜ,"law; CL:條|条[tiao2], 套[tao4], 個|个[ge4]",4
法人,fǎ rén,legal person; corporation; see also 自然人|自然人[zi4 ran2 ren2],6
法院,fǎ yuàn,court of law; court,5
番,fān,to take turns; order in series; time; a kind of; barbarians,6
翻,fān,to turn over; to flip over; to overturn; to translate; to decode,6
翻译,fān yì,"to translate; to interpret; translator; interpreter; translation; interpretation; CL:個|个[ge4],位[wei4],名[ming2]",4
繁华,fán huá,flourishing; bustling,6
繁忙,fán máng,busy; bustling,6
烦恼,fán nǎo,agonize; agony; annoyance; upset; vexation; worries,4
繁荣,fán róng,prosperous; booming (economy),5
凡是,fán shì,every; all,5
繁体字,fán tǐ zì,traditional Chinese character,6
繁殖,fán zhí,to breed; to reproduce; to propagate,6
反驳,fǎn bó,to retort; to refute,6
反常,fǎn cháng,unusual; abnormal,6
反倒,fǎn dào,but on the contrary; but expectedly,6
反动,fǎn dòng,reaction; reactionary,6
反对,fǎn duì,to fight against; to oppose; to be opposed to; opposition,4
反而,fǎn ér,instead; on the contrary; contrary (to expectations),5
反复,fǎn fù,repeatedly; over and over,5
反感,fǎn gǎn,to be disgusted with; to dislike; bad reaction; antipathy,6
反抗,fǎn kàng,to resist; to rebel,6
反馈,fǎn kuì,to send back information; feedback,6
反面,fǎn miàn,reverse side of sth; opposite side of some topic; the other side,6
反射,fǎn shè,to reflect; reflection (from a mirror etc); reflex (i.e. automatic reaction of organism),6
反思,fǎn sī,to think back over sth; to review; to revisit; to rethink; reflection; reassessment,6
反问,fǎn wèn,to ask (a question) in reply; to answer a question with a question; rhetorical question,6
反应,fǎn yìng,to react; to respond; reaction; response; reply; chemical reaction; CL:個|个[ge4],5
反映,fǎn yìng,"to mirror; to reflect; mirror image; reflection; fig. to report; to make known; to render; used erroneously for 反應|反应, response or reaction",4
反正,fǎn zhèng,to put things back in order; to return to the correct path; in any event; come what may; whatever happens (I'm still sure it's right); anyway,5
反之,fǎn zhī,on the other hand...; conversely...,6
范畴,fàn chóu,category,6
饭馆,fàn guǎn,restaurant; CL:家[jia1],1
泛滥,fàn làn,to be in flood; to overflow (the banks); to inundate; to spread unchecked,6
贩卖,fàn mài,to sell; to peddle; to traffic,6
范围,fàn wéi,range; scope; limit; extent; CL:個|个[ge4],4
方,fāng,"square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); upright or honest; just when; only or just; classifier for square things; abbr. for square or cubic meter",5
方案,fāng àn,plan; program (for action etc); proposal; proposed bill; CL:個|个[ge4],5
方便,fāng biàn,convenient; to help out; to make things easy for people; convenience; suitable; having money to spare; (euphemism) to go to the toilet,3
方法,fāng fǎ,method; way; means; CL:個|个[ge4],4
方面,fāng miàn,respect; aspect; field; side; CL:個|个[ge4],4
方式,fāng shì,way (of life); pattern; style; mode; manner; CL:個|个[ge4],5
方位,fāng wèi,direction; points of the compass; bearing; position; azimuth,6
方向,fāng xiàng,direction; orientation; path to follow; CL:個|个[ge4],4
方言,fāng yán,dialect,6
方针,fāng zhēn,policy; guidelines; CL:個|个[ge4],6
妨碍,fáng ài,to hinder; to obstruct,5
房东,fáng dōng,landlord,5
房间,fáng jiān,room; CL:間|间[jian1],2
防守,fáng shǒu,defend; protect (against),6
防疫,fáng yì,disease prevention; protection against epidemic,6
防御,fáng yù,defense,6
防止,fáng zhǐ,to prevent; to guard against; to take precautions,6
防治,fáng zhì,prevention and cure,6
仿佛,fǎng fú,to seem; as if; alike; similar,5
访问,fǎng wèn,to visit; to call on; to interview; CL:次[ci4],4
纺织,fǎng zhī,spinning and weaving,6
放,fàng,to release; to free; to let go; to put; to place; to let out; to set off (fireworks),3
放大,fàng dà,to enlarge; to magnify,6
放弃,fàng qì,to renounce; to abandon; to give up,4
放射,fàng shè,to radiate; radioactive,6
放手,fàng shǒu,let go; have a free hand; let go one's hold,6
放暑假,fàng shǔ jià,take summer vacation,4
放松,fàng sōng,to loosen; to relax,5
放心,fàng xīn,to set one's mind at rest; to be at ease; to rest,3
非,fēi,non-; not-; un-; abbr. for Africa 非洲; wrong; evil-doing; insist on; simply must,5
非常,fēi cháng,unusual; extraordinary; extreme; very; exceptional,2
非法,fēi fǎ,illegal,6
飞机,fēi jī,airplane; CL: 架[jia4],1
飞禽走兽,fēi qín zǒu shòu,birds and animals; the beasts of the field and the birds of the air,6
飞翔,fēi xiáng,fly,6
飞跃,fēi yuè,to leap,6
肥沃,féi wò,fertile,6
肥皂,féi zào,"soap; CL:塊|块[kuai4],條|条[tiao2]",5
诽谤,fěi bàng,slander; libel,6
匪徒,fěi tú,gangster; bandit,6
肺,fèi,lung; CL:個|个[ge4],5
废除,fèi chú,to abolish; to abrogate; to repeal,6
废话,fèi huà,nonsense; rubbish; superfluous words; You don't say!; No kidding! (gently sarcastic),5
沸腾,fèi téng,boiling; ebullition,6
废墟,fèi xū,ruins,6
费用,fèi yòng,"cost; expenditure; expense; CL:筆|笔[bi3],個|个[ge4]",5
分,fēn,to divide; to separate; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money),3
分辨,fēn biàn,to distinguish; to differentiate; to resolve; to defend against an accusation; to exculpate,6
分别,fēn bié,to part or leave each other; to distinguish; difference; in different ways; differently; separately or individually,5
分布,fēn bù,distributed; to distribute,5
分寸,fēn cun,propriety; appropriate behavior; proper speech or action; within the norms,6
纷纷,fēn fēn,one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell,5
吩咐,fēn fù,to tell; to instruct; to command,6
分红,fēn hóng,a bonus; to award a bonus,6
分解,fēn jiě,to resolve; to decompose; to break down,6
分裂,fēn liè,to split up; to divide; to break up; fission,6
分泌,fēn mì,secrete,6
分明,fēn míng,clearly demarcated; sharply contoured,6
分配,fēn pèi,to distribute; to assign; to allocate,5
分歧,fēn qí,"difference (of opinion, position); bifurcation",6
分散,fēn sàn,scatter; disperse; distribute,6
分手,fēn shǒu,to split up; to break up,6
分析,fēn xī,to analyze; analysis; CL:個|个[ge4],5
…分之…,fēn zhī,"used for fractions and percentages, e.g. 四分之一 is 1/4 and 百分之一 is 1%",4
分钟,fēn zhōng,minute,1
坟墓,fén mù,sepulcher; tomb,6
粉末,fěn mò,fine powder; dust,6
粉色,fěn sè,white; light pink; erotic; beautiful woman; powdered (with make-up),6
粉碎,fěn suì,crash; break up,6
份,fèn,"part; share; portion; copy; classifier for gifts, newspaper, magazine, papers, reports, contracts etc",4
奋斗,fèn dòu,to strive; to struggle,5
分量,fèn liàng,weight; measure,6
愤怒,fèn nù,angry; indignant,5
风暴,fēng bào,"storm; violent commotion; fig. crisis (e.g. revolution, uprising, financial crisis etc)",6
封闭,fēng bì,to seal; to close; to confine; to seal off; to close down; sealed; confined; closed; unreceptive,6
风度,fēng dù,elegance (for men); elegant demeanor; grace; poise,6
丰富,fēng fù,rich; plentiful; abundant,4
风格,fēng gé,style,5
风光,fēng guāng,scene; view; sight; landscape; to be well-regarded; to be well-off; grand (topolect); impressive (topolect),6
封建,fēng jiàn,system of enfeoffment; feudalism; feudal; feudalistic,6
风景,fēng jǐng,scenery; landscape; CL:個|个[ge4],4
疯狂,fēng kuáng,madness; extreme popularity,5
锋利,fēng lì,sharp (e.g. knife blade); incisive; to the point,6
丰满,fēng mǎn,plentiful; rich; plump; well-rounded,6
风气,fēng qì,general mood; atmosphere; common practice,6
风趣,fēng qù,humor; wit; humorous; witty,6
丰盛,fēng shèng,rich; sumptuous,6
丰收,fēng shōu,bumper harvest,6
风俗,fēng sú,social custom; CL:個|个[ge4],5
封锁,fēng suǒ,to blockade; to seal off,6
风土人情,fēng tǔ rén qíng,local conditions and customs (idiom),6
风味,fēng wèi,local flavor; local style,6
风险,fēng xiǎn,risk; venture; hazard,5
逢,féng,to meet by chance; to come across; to fawn upon,6
讽刺,fěng cì,to satirize; to mock; irony; satire; sarcasm,5
奉献,fèng xiàn,to consecrate; to dedicate; to devote,6
否定,fǒu dìng,to negate; negative (answer); CL:個|个[ge4],5
否决,fǒu jué,veto; to overrule; to veto; to reject,6
否认,fǒu rèn,to declare to be untrue; to deny,5
否则,fǒu zé,if not; otherwise; else; or else,4
夫妇,fū fù,a (married) couple; husband and wife; CL:對|对[dui4],6
夫人,fū ren,lady; madam; Mrs.; CL:位[wei4],6
敷衍,fū yǎn,to elaborate (on a theme); to expound (the classics); perfunctory; to skimp; to botch; to do sth half-heartedly or just for show; barely enough to get by,6
幅,fú,width; roll; classifier for textiles or pictures,5
扶,fú,to support with hand; to help sb up; to help,5
服从,fú cóng,to obey (an order); to comply; to defer,5
幅度,fú dù,width; extent; range; scope,6
符号,fú hào,symbol; mark; sign,6
符合,fú hé,in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle,4
福利,fú lì,(material) welfare; well-being,6
俘虏,fú lǔ,captive,6
服气,fú qì,to be convinced; to accept,6
福气,fú qi,good fortune; to enjoy good fortune,6
辐射,fú shè,radiation,6
服务员,fú wù yuán,waiter; waitress; attendant; customer service personnel; CL:個|个[ge4],2
服装,fú zhuāng,dress; clothing; costume; clothes; CL:身[shen1],5
腐败,fǔ bài,corruption; corrupt; rotten,6
辅导,fǔ dǎo,to coach; to tutor; to give advice (in study),5
腐烂,fǔ làn,to rot; to become gangrenous,6
腐蚀,fǔ shí,corrosion; to corrode (degrade chemically); to rot; corruption,6
腐朽,fǔ xiǔ,rotten; decayed; decadent; degenerate,6
抚养,fǔ yǎng,to foster; to bring up; to raise,6
俯仰,fǔ yǎng,looking up and down; actions; being obliging,6
辅助,fǔ zhù,to assist; to aid; supplementary; auxiliary; subsidiary,6
富,fù,rich; surname Fu,4
副,fù,secondary; auxiliary; deputy; assistant; vice-; abbr. for 副詞|副词 adverb; classifier for pairs,6
负担,fù dān,burden; to bear a burden,6
覆盖,fù gài,to cover,6
附和,fù hè,to parrot; to crib; to copy sb's action or words; to trail sb's footsteps; copy-cat,6
复活,fù huó,to bring back to life; to revive; resurrection,6
附件,fù jiàn,enclosure; attachment (email); appendix,6
附近,fù jìn,(in the) vicinity; nearby; neighboring; next to,3
付款,fù kuǎn,pay; payment,5
妇女,fù nǚ,woman,5
父亲,fù qīn,father; also pr. with light tone [fu4 qin5]; CL:個|个[ge4],4
附属,fù shǔ,subsidiary; auxiliary; attached; affiliated; subordinate; subordinating,6
复习,fù xí,to revise; to review; revision; CL:次[ci4],3
腹泻,fù xiè,diarrhea; to have the runs,6
复兴,fù xīng,to revive; rebirth,6
复印,fù yìn,to photocopy; to duplicate a document,4
赋予,fù yǔ,to assign; to entrust (a task); to give; to bestow,6
富裕,fù yù,abundant; affluent; richness; affluence,6
复杂,fù zá,complicated; complex,4
负责,fù zé,to be in charge of; to take responsibility for; to be to blame; conscientious,4
复制,fù zhì,to duplicate; to make a copy of; to copy; to reproduce; to clone,5
副作用,fù zuò yòng,side effect,6
改变,gǎi biàn,to change; to alter; to transform,4
改革,gǎi gé,to reform; CL:個|个[ge4],5
改进,gǎi jìn,to improve; to make better; CL:個|个[ge4],5
改良,gǎi liáng,improve,6
改善,gǎi shàn,to make better; to improve; CL:個|个[ge4],5
改正,gǎi zhèng,to correct; to amend; to put right; correction; CL:個|个[ge4],5
盖,gài,lid; top; cover; canopy; to build,5
概括,gài kuò,to summarize; to generalize; briefly; CL:個|个[ge4],5
概念,gài niàn,concept; idea; CL:個|个[ge4],5
盖章,gài zhāng,to affix a seal (to sth),6
干杯,gān bēi,to drink a toast; Cheers! (proposing a toast); Here's to you!; Bottoms up!; lit. dry cup,4
干脆,gān cuì,straightforward; clear-cut; blunt (e.g. statement); you might as well; simply,5
尴尬,gān gà,awkward; embarrassed,6
干旱,gān hàn,drought; arid; dry,6
干净,gān jìng,clean; neat,3
干扰,gān rǎo,to interfere; obstruction,6
干涉,gān shè,to interfere; to meddle; interference,6
甘心,gān xīn,to be willing to; to resign oneself to,6
干预,gān yù,to meddle; to intervene; intervention,6
干燥,gān zào,"to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid",4
敢,gǎn,to dare; daring; (polite) may I venture,3
感动,gǎn dòng,to move (sb); to touch (sb emotionally); moving,4
感激,gǎn jī,to express thanks; grateful; moved to gratitude,5
赶紧,gǎn jǐn,hurriedly,5
感觉,gǎn jué,to feel; to become aware of; feeling; sense; perception; CL:個|个[ge4],4
感慨,gǎn kǎi,lament; with a tinge of emotion or regret,6
赶快,gǎn kuài,at once; immediately,5
感冒,gǎn mào,"to catch cold; (common) cold; CL:場|场[chang2],次[ci4]",3
感情,gǎn qíng,"feeling; emotion; sensation; likes and dislikes; deep affection for sb or sth; relationship (i.e. love affair); CL:個|个[ge4],種|种[zhong3]",4
感染,gǎn rǎn,infection; to infect; to influence,6
感受,gǎn shòu,to sense; perception; to feel (through the senses); a feeling; an impression; an experience,5
感想,gǎn xiǎng,"impressions; reflections; thoughts; CL:通[tong4],個|个[ge4]",5
感谢,gǎn xiè,(express) thanks; gratitude; grateful; thankful; thanks,4
干,gàn,to work; to do; to manage,5
干活儿,gàn huó r5,to work; manual labor,5
干劲,gàn jìn,enthusiasm for doing sth,6
扛,gāng,to raise aloft with both hands,6
刚才,gāng cái,just now; a moment ago,3
刚刚,gāng gāng,just recently; just a moment ago,6
纲领,gāng lǐng,program; guiding principle,6
钢铁,gāng tiě,steel,5
港口,gǎng kǒu,port; harbor,6
港湾,gǎng wān,natural harbor; bay serving as harbor,6
岗位,gǎng wèi,a post; a job,6
杠杆,gàng gǎn,lever; pry bar; crowbar; financial leverage,6
高,gāo,high; tall; above average; loud; your (honorific); surname Gao,2
高超,gāo chāo,excellent; superlative,6
高潮,gāo cháo,high tide; high water; upsurge; climax; orgasm; chorus (part of a song),6
