Word,Pronunciation,Definition,HSK Level
宝贝,bǎo bèi,treasured object; treasure; darling; baby; cowry; good-for-nothing or queer character,5
保持,bǎo chí,to keep; to maintain; to hold; to preserve,5
保存,bǎo cún,to conserve; to preserve; to keep; to save (a file etc) (computing),5
保管,bǎo guǎn,to assure; to guarantee; to take care of; to safeguard; certainly; surely,6
宝贵,bǎo guì,valuable; precious; value; treasure; set store by,5
饱和,bǎo hé,saturation,6
保护,bǎo hù,to protect; to defend; to safeguard; protection; CL:種|种[zhong3],4
饱经沧桑,bǎo jīng cāng sāng,having lived through many changes,6
保留,bǎo liú,to retain; to continue to have; to preserve; to maintain; to reserve; reservations; to hold back (approval or acceptance),5
保密,bǎo mì,to keep sth confidential; to maintain secrecy,6
保姆,bǎo mǔ,nanny; housekeeper,6
保守,bǎo shǒu,(politically) conservative; to guard; to keep,6
保卫,bǎo wèi,to defend; to safeguard,6
保险,bǎo xiǎn,insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4],5
保养,bǎo yǎng,to take good care of (or conserve) one's health; to keep in good repair; to maintain; maintenance,6
保障,bǎo zhàng,to ensure; to guarantee; to safeguard,6
保证,bǎo zhèng,guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:個|个[ge4],4
保重,bǎo zhòng,take care of oneself,6
抱,bào,to hold; to carry (in one's arms); to hug or embrace; surround; cherish,4
报仇,bào chóu,to revenge (oneself); to avenge,6
报酬,bào chou,reward; remuneration,6
报答,bào dá,to repay; to requite,6
报到,bào dào,report for duty; check in; register,6
报道,bào dào,"report; CL:篇[pian1],份[fen4]",4
爆发,bào fā,to break out; to erupt; to explode; to burst out,6
报复,bào fù,to make reprisals; to retaliate; revenge; retaliation,6
抱负,bào fù,aspiration; ambition,6
报告,bào gào,"to inform; report; make known; speech; talk; lecture; CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]",5
曝光,bào guāng,exposure (e.g. of photosensitive material); to expose (a scandal to the public),6
暴力,bào lì,violence; (use) force; violent,6
暴露,bào lù,to expose; to reveal; to lay bare,6
报名,bào míng,to sign up; to enter one's name; to apply; to register; to enroll; to enlist,4
抱歉,bào qiàn,sorry; We apologize!; to feel apologetic; to regret,4
报社,bào shè,general office of a newspaper; newspaper office; CL:家[jia1],6
报销,bào xiāo,submit an expense account; apply for reimbursement; write-off; wipe out,6
抱怨,bào yuàn,to complain; to grumble,6
爆炸,bào zhà,explosion; to explode; to blow up; to detonate,6
报纸,bào zhǐ,"newspaper; newsprint; CL:份[fen4],期[qi1],張|张[zhang1]",2
悲哀,bēi āi,grieved; sorrowful,6
卑鄙,bēi bǐ,base; mean; contemptible; despicable,6
悲惨,bēi cǎn,miserable; tragic,6
悲观,bēi guān,pessimistic,5
杯子,bēi zi,"cup; glass; CL:個|个[ge4],支[zhi1],枝[zhi1]",1
北方,běi fāng,north; the northern part a country; China north of the Yellow River,3
北极,běi jí,the North Pole; the Arctic Pole; the north magnetic pole,6
北京,Běi jīng,"Beijing, capital of People's Republic of China; Peking; PRC government",1
倍,bèi,"(two, three etc) -fold; times (multiplier); double; to increase or multiply",5
被,bèi,by (indicates passive-voice sentences or clauses); quilt; to cover (literary),4
背,bèi,the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory,3
被动,bèi dòng,passive,6
备份,bèi fèn,backup,6
被告,bèi gào,defendant,6
背景,bèi jǐng,background; backdrop; context; CL:種|种[zhong3],5
贝壳,bèi ké,"shell; conch; cowry; mother of pearl; hard outer skin; alternative reading bei4 qiao4, mostly written",6
背叛,bèi pàn,to betray,6
背诵,bèi sòng,recite; repeat from memory,6
备忘录,bèi wàng lù,memorandum; aide-memoire; memorandum book,6
被子,bèi zi,quilt; CL:床[chuang2],5
奔波,bēn bō,rush about; be busy running about,6
奔驰,bēn chí,"to run quickly; to travel quickly; to move fast; Mercedes-Benz, German car make",6
本,běn,"roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally",1
本科,běn kē,undergraduate course; undergraduate (adjective),5
本来,běn lái,original; originally; at first; it goes without saying; of course,4
